station_name,station_code,state_name,day,std_min,lat,lng,stop,platform_number,food_available,hotel_available,hospital_available
PARSABAD,PSB,JHARKHAND,2,1663,24.307679,85.73885,False,0,False,False,False
YADUDIH,YDD,JHARKHAND,2,1667,24.330205,85.701229,False,0,False,False,False
SARMATANR,SMND,JHARKHAND,2,1669,24.3441251011,85.6579327583,False,0,False,False,False
HIRODIH,HRE,JHARKHAND,2,1675,24.38271,85.596328,False,0,False,False,False
LARABAD,LRB,JHARKHAND,2,1678,24.407451,85.562553,False,0,False,False,False
KODERMA,KQR,JHARKHAND,2,1683,24.434491,85.529208,True,4,False,True,False
GUJHANDI,GJD,JHARKHAND,2,1693,24.497771,85.463333,False,0,False,False,False
LALBAG BH,LBZ,JHARKHAND,2,1695,24.509642,85.446682,False,0,False,False,False
DILWA,DLW,JHARKHAND,2,1700,24.53759788,85.41998863,False,0,False,False,False
NATH GANJ,NGY,BIHAR,2,1706,24.545406,85.384884,False,0,False,False,False
BASKATWA B. H.,BSCP,BIHAR,2,1707,24.547123,85.365658,False,0,False,False,False
YADUGRAM BH,YGM,BIHAR,2,1712,24.543219,85.323944,False,0,False,False,False
GURPA,GAP,BIHAR,2,1715,24.562112,85.29665,False,0,False,False,False
PAHARPUR,PRP,BIHAR,2,1727,24.625172,85.204811,False,0,False,False,False
BANSINALA HALT,BNSL,BIHAR,2,1733,24.66519241,85.16172409,False,0,False,False,False
TANKUPPA,TKN,BIHAR,2,1739,24.703796,85.119152,False,0,False,False,False
BANDHUA,BNF,BIHAR,2,1747,24.75205374,85.06628037,False,0,False,False,False
MANPUR JN,MPO,BIHAR,2,1754,24.806681,85.044308,False,0,False,True,False
SHAHEED ISHWAR CHOWDHARY HALT,SICY,BIHAR,2,1755,24.8075481103,85.0286972523,False,0,False,True,False
GAYA JN,GAYA,BIHAR,2,1764,24.804188,84.999504,True,1,False,True,True
WEST CABIN GAYA,WCB,BIHAR,2,1766,24.799046,84.971669,False,0,False,True,False
KASTHA,KSTA,BIHAR,2,1770,24.802474,84.921741,False,0,False,False,False
PARAIYA,PRY,BIHAR,2,1774,24.809174,84.850502,False,0,False,False,False
GURARU,GRRU,BIHAR,2,1778,24.810733,84.791451,False,0,False,False,False
ISMAILPUR,IMGE,BIHAR,2,1783,24.815563,84.723473,False,0,False,False,False
RAFIGANJ,RFJ,BIHAR,2,1789,24.819614,84.634724,False,0,False,False,False
DEO ROAD,DORD,BIHAR,2,1793,24.8229636763,84.5633125305,False,0,False,False,False
JAKHIM,JHN,BIHAR,2,1796,24.8292734748,84.5261478424,False,0,False,False,False
