station_name,station_code,state_name,lat,lng,track_age_years
BHABUA ROAD,BBU,BIHAR,25.173097,83.619003,20
DURGAUTI,DGO,BIHAR,25.207737,83.539524,13
DHANICHHA,DCX,BIHAR,25.2276154039,83.4912872314,10
KARAMNASA,KMS,BIHAR,25.240038,83.431192,23
SAIDRAJA,SYJ,UTTAR PRADESH,25.253391,83.35104,15
CHANDAULI MJHWR,CDMR,UTTAR PRADESH,25.261153,83.267784,20
GANJ KHAWAJA,GAQ,UTTAR PRADESH,25.273572,83.184013,13
FLYOVER CABIN MUGHALSARAI,FOCM,UTTAR PRADESH,25.288939,83.171971,8
MUGHAL SARAI OUTER,MGSO,UTTAR PRADESH,25.2968543893,83.1565475464,25
MUGHAL SARAI MARSHALING YARD,MGMY,UTTAR PRADESH,25.2870763899,83.1361198425,23
MUGHAL SARAI JN,MGS,Unknown,25.278539,83.11964,14
NEW WEST CABIN,NEWC,UTTAR PRADESH,25.27365,83.10907,16
AVCD,AVCD,Unknown,,,15
JEONATHPUR,JEP,UTTAR PRADESH,25.2318081241,83.0623054504,25
AHRAURA ROAD,ARW,Unknown,25.1963207241,83.0187034607,32
KAILAHAT,KYT,UTTAR PRADESH,25.154763,82.947121,13
CHUNAR,CAR,Uttar Pradesh,25.103671,82.875023,32
DAGMAGPUR,DAP,UTTAR PRADESH,25.098541,82.800651,34
PAHARA,PRE,UTTAR PRADESH,25.1195642638,82.7245616913,28
JHINGURA,JHG,UTTAR PRADESH,25.1243046744,82.6511764526,10
MIRZAPUR,MZP,UTTAR PRADESH,25.13429,82.569809,26
VINDHYACHAL,BDL,UTTAR PRADESH,25.1606517,82.5019012,15
BIROHE,BEO,UTTAR PRADESH,25.174029,82.449989,31
GAIPURA,GAE,UTTAR PRADESH,25.16059,82.386389,17
JIGNA,JIA,UTTAR PRADESH,25.157871,82.325535,23
MANDA ROAD,MNF,UTTAR PRADESH,25.162998,82.236958,29
UNCHDIH,UND,UTTAR PRADESH,25.1923597817,82.1633148193,35
MEJA ROAD,MJA,UTTAR PRADESH,25.221365,82.089157,32
BHEERPUR,BEP,UTTAR PRADESH,25.265034,81.98925,30
KARCHANA,KCN,UTTAR PRADESH,25.313576,81.916037,17
CHEOKI,COI,Unknown,25.379548,81.864796,17
ALAHABAD CHHEOKI JN,ACOI,Unknown,25.379548,81.864796,25
LINK JN. CABIN,LKJN,UTTAR PRADESH,25.356902,81.841939,34
IRADATGANJ,IDGJ,UTTAR PRADESH,25.317999,81.819391,27
JASRA,JSR,UTTAR PRADESH,25.280402,81.775017,10
MADARAHA,MFX,UTTAR PRADESH,25.273727,81.764374,14
LOHGARA,LOG,UTTAR PRADESH,25.25013,81.72987,18
BVAR,BVAR,UTTAR PRADESH,,,25
SHANKARGARH,SRJ,UTTAR PRADESH,25.1813305966,81.6190624237,21
MAJHIARI,MJHR,UTTAR PRADESH,25.1785343066,81.5183830261,20
BARGARH,BRG,UTTAR PRADESH,25.1639304163,81.4497184753,18
KATAIYA DANDI,KTDD,UTTAR PRADESH,25.1494024712,81.3988208771,15
DABHAURA,DBR,MADHYA PRADESH,25.11801,81.303205,25
PANHAI,PNHI,UTTAR PRADESH,25.082179,81.189995,19
MANIKPUR JN,MKP,UTTAR PRADESH,25.063442,81.093607,26
BANSAPAHAR,BNSP,UTTAR PRADESH,25.055745,81.050262,18
BARAHMUAFI,BQF,UTTAR PRADESH,25.039882,81.009922,10
MARKUNDI,MKD,UTTAR PRADESH,25.017173,80.946894,26
TIKARIA,TKYR,UTTAR PRADESH,24.99586,80.86484,35
ITWAN DUNDAILA,EDA,UTTAR PRADESH,24.940148728,80.8428955078,9
MAJHAGAWAN,MJG,MADHYA PRADESH,24.913529,80.811796,24
CHITAHRA,CTHR,MADHYA PRADESH,24.862297,80.842524,33
KHUTAHA,KTHA,MADHYA PRADESH,24.802318,80.86092,9
JAITWAR,JTW,MADHYA PRADESH,24.739816,80.863466,27
HATI,HATI,MADHYA PRADESH,24.68898,80.843039,14
SAGMA,SAGM,MADHYA PRADESH,24.622207,80.828447,26
SATNA,STA,MADHYA PRADESH,24.569099,80.828197,9
LAGARGAWAN,LGCE,MADHYA PRADESH,24.464338,80.8144,8
UNCHHERA,UHR,MADHYA PRADESH,24.38103,80.79423,32
MAIHAR,MYR,MADHYA PRADESH,24.255925,80.763588,28
BHADANPUR,BUU,MADHYA PRADESH,24.16782,80.679517,27
AMDARA ROAD,UDR,MADHYA PRADESH,24.0993608758,80.5777645111,20
PAKARA ROAD,PKRD,MADHYA PRADESH,24.05101,80.505409,30
JUKEHI,JKE,MADHYA PRADESH,23.986723,80.432239,18
PATWARA,PTWA,MADHYA PRADESH,23.9140872844,80.4134845734,30
KATNI,KTE,MADHYA PRADESH,23.833795,80.400953,11
KATNI SOUTH,KTES,MADHYA PRADESH,23.824295,80.400683,28
MADHAVNAGAR ROA,MDRR,MADHYA PRADESH,23.7861302083,80.3943443298,10
NIWAR,NWR,MADHYA PRADESH,23.7199827184,80.3691101074,19
SANSARPUR,SNRR,MADHYA PRADESH,23.6788003455,80.3471374512,8
SLEEMANABAD RD,SBD,MADHYA PRADESH,23.614329,80.285168,14
DUNDI,DDCE,MADHYA PRADESH,23.557614,80.216417,24
SIHORA ROAD,SHR,MADHYA PRADESH,23.466966,80.110095,34
GOSALPUR,GSPR,MADHYA PRADESH,23.381456,80.058875,34
DEORI,DOE,MADHYA PRADESH,23.298235,80.009608,30
ADHARTAL,ADTL,MADHYA PRADESH,23.227859,79.972744,22
JABALPUR,JBP,MADHYA PRADESH,23.164746,79.951029,20
MADAN MAHAL,MML,MADHYA PRADESH,23.159695,79.920645,19
KACHHPURA,KEQ,MADHYA PRADESH,23.1739778936,79.891076088,30
BHERAGHAT,BRGT,MADHYA PRADESH,23.1698663,79.7979789,21
BHITONI,BHTN,MADHYA PRADESH,23.1426083,79.6738909,33
BIKRAMPUR,BMR,MADHYA PRADESH,23.082416,79.586506,11
SHRIDHAM,SRID,Madhya Pradesh,23.034243,79.484797,12
KARAK BEL,KKB,MADHYA PRADESH,22.992215,79.341159,32
BELKHERA,BELD,MADHYA PRADESH,22.982101,79.300089,22
GHATPINDRAI,GPC,MADHYA PRADESH,22.952466,79.2661,28
NARSINGHPUR,NU,MADHYA PRADESH,22.942942,79.214215,18
KARELI,KY,MADHYA PRADESH,22.931994,79.066415,27
KARAPGAON,KFY,MADHYA PRADESH,22.9150769073,78.9840602875,17
BOHANI,BNE,MADHYA PRADESH,22.9133376381,78.9155673981,30
GADARWARA,GAR,MADHYA PRADESH,22.899739,78.792014,9
SALICHAUKA ROAD,SCKR,MADHYA PRADESH,22.834059,78.676701,33
JUNEHTA,JHT,MADHYA PRADESH,22.78269,78.596363,13
BANKHEDI,BKH,MADHYA PRADESH,22.7752319,78.5383469,24
PIPARIYA,PPI,MADHYA PRADESH,22.753981,78.354578,17
SOBHAPUR,SXF,MADHYA PRADESH,22.727899,78.292351,31
SOHAGPUR,SGP,MADHYA PRADESH,22.693893,78.194418,17
GURAMKHEDI,GMD,MADHYA PRADESH,22.681816476,78.0774307251,17
BAGRA TAWA,BGTA,MADHYA PRADESH,22.6311213,77.9941173,30
SONTALAI,SQL,MADHYA PRADESH,22.613258,77.950015,19
GURRA,GRO,MADHYA PRADESH,22.631837,77.86706,30
ITARSI JN,ET,MADHYA PRADESH,22.608068,77.766938,26
JUJHARPUR,JUH,MADHYA PRADESH,22.605137,77.75657,15
ETBC,ETBC,Unknown,,,32
DULARIA,DRA,MADHYA PRADESH,22.575241,77.653942,29
KHUTWANSA,KTZ,MADHYA PRADESH,22.545379,77.602615,9
DHARMKUNDI,DKI,MADHYA PRADESH,22.5123983739,77.5513744354,9
BANAPURA,BPF,MADHYA PRADESH,22.4704475471,77.4808216095,24
BHAIRONPUR,BIF,MADHYA PRADESH,22.431816,77.420139,21
PAGDHAL,PGL,MADHYA PRADESH,22.42051,77.351421,17
CHHIDGAON,CGO,MADHYA PRADESH,22.406793,77.313945,11
TIMARNI,TBN,MADHYA PRADESH,22.37627,77.22981,33
CHARKHERA,CRK,MADHYA PRADESH,22.366983,77.170887,14
HARDA,HD,MADHYA PRADESH,22.338724,77.10115,30
PALASNER,PAL,MADHYA PRADESH,22.304066,77.049994,22
MASANGAON,MUO,MADHYA PRADESH,22.273053,77.005577,35
BHIRINGI,BRI,MADHYA PRADESH,22.227932,76.941204,19
KURAWAN,KRO,MADHYA PRADESH,22.191538,76.888676,13
KHIRKIYA,KKN,MADHYA PRADESH,22.166104,76.859107,18
DAGARHKERI,DRHI,MADHYA PRADESH,22.0816632116,76.8267917633,22
BARUD,BRUD,MADHYA PRADESH,22.052232,76.814175,18
CHHANERA,CAER,MADHYA PRADESH,21.963505,76.707315,18
